orig_book_index	orig_chapter	orig_verse	orig_subverse	order_by	text
40N	1	1		10	Βίβλος γενέσεως Ἰησοῦ χριστοῦ υἱοῦ Δαυὶδ υἱοῦ Ἀβραάμ
40N	1	2		20	Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ Ἰσαὰκ δὲ ἐγέννησεν τὸν Ἰακώβ Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ
40N	1	3		30	Ἰούδας δὲ ἐγέννησεν τὸν Φαρὲς καὶ τὸν Ζάρα ἐκ τῆς Θαμάρ Φαρὲς δὲ ἐγέννησεν τὸν Ἑσρώμ Ἑσρὼμ δὲ ἐγέννησεν τὸν Ἀράμ
40N	1	4		40	Ἀρὰμ δὲ ἐγέννησεν τὸν Ἀμιναδάβ Ἀμιναδὰβ δὲ ἐγέννησεν τὸν Ναασσών Ναασσὼν δὲ ἐγέννησεν τὸν Σαλμών
40N	1	5		50	Σαλμὼν δὲ ἐγέννησεν τὸν Βόες ἐκ τῆς Ῥαχάβ Βόες δὲ ἐγέννησεν τὸν Ἰωβὴδ ἐκ τῆς Ῥούθ Ἰωβὴδ δὲ ἐγέννησεν τὸν Ἰεσσαί
40N	1	6		60	Ἰεσσαὶ δὲ ἐγέννησεν τὸν Δαυὶδ τὸν βασιλέα Δαυὶδ δὲ ἐγέννησεν τὸν Σολομῶνα ἐκ τῆς τοῦ Οὐρίου
40N	1	7		70	Σολομὼν δὲ ἐγέννησεν τὸν Ῥοβοάμ Ῥοβοὰμ δὲ ἐγέννησεν τὸν Ἀβιά Ἀβιὰ δὲ ἐγέννησεν τὸν Ἀσάφ
40N	1	8		80	Ἀσὰφ δὲ ἐγέννησεν τὸν Ἰωσαφάτ Ἰωσαφὰτ δὲ ἐγέννησεν τὸν Ἰωράμ Ἰωρὰμ δὲ ἐγέννησεν τὸν Ὀζίαν
40N	1	9		90	Ὀζίας δὲ ἐγέννησεν τὸν Ἰωαθάμ Ἰωαθὰμ δὲ ἐγέννησεν τὸν Ἀχάζ Ἀχὰζ δὲ ἐγέννησεν τὸν Ἑζεκίαν
40N	1	10		100	Ἑζεκίας δὲ ἐγέννησεν τὸν Μανασσῆ Μανασσῆς δὲ ἐγέννησεν τὸν Ἀμώς Ἀμὼς δὲ ἐγέννησεν τὸν Ἰωσίαν
40N	1	11		110	Ἰωσίας δὲ ἐγέννησεν τὸν Ἰεχονίαν καὶ τοὺς ἀδελφοὺς αὐτοῦ ἐπὶ τῆς μετοικεσίας Βαβυλῶνος
