orig_book_index,orig_chapter,orig_verse,text
Matthew,1,1,Βιβλος γενεσεως Ιησου χριστου υιου Δαυιδ υιου Αβρααμ
Matthew,1,2,Αβρααμ εγεννησεν τον Ισαακ Ισαακ δε εγεννησεν τον Ιακωβ Ιακωβ δε εγεννησεν τον Ιουδαν και τους αδελφους αυτου
Matthew,1,3,Ιουδας δε εγεννησεν τον Φαρες και τον Ζαρα εκ της Θαμαρ Φαρες δε εγεννησεν τον Εσρωμ Εσρωμ δε εγεννησεν τον Αραμ
Matthew,1,4,Αραμ δε εγεννησεν τον Αμιναδαβ Αμιναδαβ δε εγεννησεν τον Ναασσων Ναασσων δε εγεννησεν τον Σαλμων
Matthew,1,5,Σαλμων δε εγεννησεν τον Βοες εκ της Ραχαβ Βοες δε εγεννησεν τον Ιωβηδ εκ της Ρουθ Ιωβηδ δε εγεννησεν τον Ιεσσαι
Matthew,1,6,Ιεσσαι δε εγεννησεν τον Δαυιδ τον βασιλεα Δαυιδ δε εγεννησεν τον Σολομωνα εκ της του Ουριου
Matthew,1,7,Σολομων δε εγεννησεν τον Ροβοαμ Ροβοαμ δε εγεννησεν τον Αβια Αβια δε εγεννησεν τον Ασαφ
Matthew,1,8,Ασαφ δε εγεννησεν τον Ιωσαφατ Ιωσαφατ δε εγεννησεν τον Ιωραμ Ιωραμ δε εγεννησεν τον Οζιαν
Matthew,1,9,Οζιας δε εγεννησεν τον Ιωαθαμ Ιωαθαμ δε εγεννησεν τον Αχαζ Αχαζ δε εγεννησεν τον Εζεκιαν
Matthew,1,10,Εζεκιας δε εγεννησεν τον Μανασση Μανασσης δε εγεννησεν τον Αμως Αμως δε εγεννησεν τον Ιωσιαν
Matthew,1,11,Ιωσιας δε εγεννησεν τον Ιεχονιαν και τους αδελφους αυτου επι της μετοικεσιας Βαβυλωνος
Matthew,1,12,Μετα δε την μετοικεσιαν Βαβυλωνος Ιεχονιας εγεννησεν τον Σαλαθιηλ Σαλαθιηλ δε εγεννησεν τον Ζοροβαβελ
Matthew,1,13,Ζοροβαβελ δε εγεννησεν τον Αβιουδ Αβιουδ δε εγεννησεν τον Ελιακιμ Ελιακιμ δε εγεννησεν τον Αζωρ
Matthew,1,14,Αζωρ δε εγεννησεν τον Σαδωκ Σαδωκ δε εγεννησεν τον Αχιμ Αχιμ δε εγεννησεν τον Ελιουδ
Matthew,1,15,Ελιουδ δε εγεννησεν τον Ελεαζαρ Ελεαζαρ δε εγεννησεν τον Ματθαν Ματθαν δε εγεννησεν τον Ιακωβ
Matthew,1,16,Ιακωβ δε εγεννησεν τον Ιωσηφ τον ανδρα Μαριας εξ ης εγεννηθη Ιησους ο λεγομενος χριστος
Matthew,1,17,Πασαι ουν αι γενεαι απο Αβρααμ εως Δαυιδ γενεαι δεκατεσσαρες και απο Δαυιδ εως της μετοικεσιας Βαβυλωνος γενεαι δεκατεσσαρες και απο της μετοικεσιας Βαβυλωνος εως του χριστου γενεαι δεκατεσσαρες
Matthew,1,18,Του δε Ιησου χριστου η γενεσις ουτως ην μνηστευθεισης της μητρος αυτου Μαριας τω Ιωσηφ πριν η συνελθειν αυτους ευρεθη εν γαστρι εχουσα εκ πνευματος αγιου
Matthew,1,19,Ιωσηφ δε ο ανηρ αυτης δικαιος ων και μη θελων αυτην δειγματισαι εβουληθη λαθρα απολυσαι αυτην
Matthew,1,20,ταυτα δε αυτου ενθυμηθεντος ιδου αγγελος κυριου κατ οναρ εφανη αυτω λεγων Ιωσηφ υιος Δαυιδ μη φοβηθης παραλαβειν Μαριαν την γυναικα σου το γαρ εν αυτη γεννηθεν εκ πνευματος εστιν αγιου
Matthew,1,21,τεξεται δε υιον και καλεσεις το ονομα αυτου Ιησουν αυτος γαρ σωσει τον λαον αυτου απο των αμαρτιων αυτων
Matthew,1,22,τουτο δε ολον γεγονεν ινα πληρωθη το ρηθεν υπο κυριου δια του προφητου λεγοντος
Matthew,1,23,Ιδου η παρθενος εν γαστρι εξει και τεξεται υιον και καλεσουσιν το ονομα αυτου Εμμανουηλ ο εστιν μεθερμηνευομενον Μεθ ημων ο θεος
Matthew,1,24,εγερθεις δε ο Ιωσηφ απο του υπνου εποιησεν ως προσεταξεν αυτω ο αγγελος κυριου και παρελαβεν την γυναικα αυτου
Matthew,1,25,και ουκ εγινωσκεν αυτην εως ου ετεκεν υιον και εκαλεσεν το ονομα αυτου Ιησουν
Matthew,2,1,Του δε Ιησου γεννηθεντος εν Βηθλεεμ της Ιουδαιας εν ημεραις Ηρωδου του βασιλεως ιδου μαγοι απο ανατολων παρεγενοντο εις Ιεροσολυμα
Matthew,2,2,λεγοντες Που εστιν ο τεχθεις βασιλευς των Ιουδαιων ειδομεν γαρ αυτου τον αστερα εν τη ανατολη και ηλθομεν προσκυνησαι αυτω
Matthew,2,3,ακουσας δε ο βασιλευς Ηρωδης εταραχθη και πασα Ιεροσολυμα μετ αυτου
Matthew,2,4,και συναγαγων παντας τους αρχιερεις και γραμματεις του λαου επυνθανετο παρ αυτων που ο χριστος γενναται
Matthew,2,5,οι δε ειπαν αυτω Εν Βηθλεεμ της Ιουδαιας ουτως γαρ γεγραπται δια του προφητου
Matthew,2,6,Και συ Βηθλεεμ γη Ιουδα ουδαμως ελαχιστη ει εν τοις ηγεμοσιν Ιουδα εκ σου γαρ εξελευσεται ηγουμενος οστις ποιμανει τον λαον μου τον Ισραηλ
Matthew,2,7,Τοτε Ηρωδης λαθρα καλεσας τους μαγους ηκριβωσεν παρ αυτων τον χρονον του φαινομενου αστερος
Matthew,2,8,και πεμψας αυτους εις Βηθλεεμ ειπεν Πορευθεντες εξετασατε ακριβως περι του παιδιου επαν δε ευρητε απαγγειλατε μοι οπως καγω ελθων προσκυνησω αυτω
Matthew,2,9,οι δε ακουσαντες του βασιλεως επορευθησαν και ιδου ο αστηρ ον ειδον εν τη ανατολη προηγεν αυτους εως ελθων εσταθη επανω ου ην το παιδιον
Matthew,2,10,ιδοντες δε τον αστερα εχαρησαν χαραν μεγαλην σφοδρα
Matthew,2,11,και ελθοντες εις την οικιαν ειδον το παιδιον μετα Μαριας της μητρος αυτου και πεσοντες προσεκυνησαν αυτω και ανοιξαντες τους θησαυρους αυτων προσηνεγκαν αυτω δωρα χρυσον και λιβανον και σμυρναν
Matthew,2,12,και χρηματισθεντες κατ οναρ μη ανακαμψαι προς Ηρωδην δι αλλης οδου ανεχωρησαν εις την χωραν αυτων
Matthew,2,13,Αναχωρησαντων δε αυτων ιδου αγγελος κυριου φαινεται κατ οναρ τω Ιωσηφ λεγων Εγερθεις παραλαβε το παιδιον και την μητερα αυτου και φευγε εις Αιγυπτον και ισθι εκει εως αν ειπω σοι μελλει γαρ Ηρωδης ζητειν το παιδιον του απολεσαι αυτο
Matthew,2,14,ο δε εγερθεις παρελαβε το παιδιον και την μητερα αυτου νυκτος και ανεχωρησεν εις Αιγυπτον
Matthew,2,15,και ην εκει εως της τελευτης Ηρωδου ινα πληρωθη το ρηθεν υπο κυριου δια του προφητου λεγοντος Εξ Αιγυπτου εκαλεσα τον υιον μου
Matthew,2,16,Τοτε Ηρωδης ιδων οτι ενεπαιχθη υπο των μαγων εθυμωθη λιαν και αποστειλας ανειλεν παντας τους παιδας τους εν Βηθλεεμ και εν πασι τοις οριοις αυτης απο διετους και κατωτερω κατα τον χρονον ον ηκριβωσεν παρα των μαγων
Matthew,2,17,τοτε επληρωθη το ρηθεν δια Ιερεμιου του προφητου λεγοντος
Matthew,2,18,Φωνη εν Ραμα ηκουσθη κλαυθμος και οδυρμος πολυς Ραχηλ κλαιουσα τα τεκνα αυτης και ουκ ηθελεν παρακληθηναι οτι ουκ εισιν
Matthew,2,19,Τελευτησαντος δε του Ηρωδου ιδου αγγελος κυριου φαινεται κατ οναρ τω Ιωσηφ εν Αιγυπτω
Matthew,2,20,λεγων Εγερθεις παραλαβε το παιδιον και την μητερα αυτου και πορευου εις γην Ισραηλ τεθνηκασιν γαρ οι ζητουντες την ψυχην του παιδιου
Matthew,2,21,ο δε εγερθεις παρελαβε το παιδιον και την μητερα αυτου και εισηλθεν εις γην Ισραηλ
Matthew,2,22,ακουσας δε οτι Αρχελαος βασιλευει της Ιουδαιας αντι του πατρος αυτου Ηρωδου εφοβηθη εκει απελθειν χρηματισθεις δε κατ οναρ ανεχωρησεν εις τα μερη της Γαλιλαιας
Matthew,2,23,και ελθων κατωκησεν εις πολιν λεγομενην Ναζαρετ οπως πληρωθη το ρηθεν δια των προφητων οτι Ναζωραιος κληθησεται
Matthew,3,1,Εν δε ταις ημεραις εκειναις παραγινεται Ιωαννης ο βαπτιστης κηρυσσων εν τη ερημω της Ιουδαιας
Matthew,3,2,και λεγων Μετανοειτε ηγγικεν γαρ η βασιλεια των ουρανων
Matthew,3,3,ουτος γαρ εστιν ο ρηθεις δια Ησαιου του προφητου λεγοντος Φωνη βοωντος εν τη ερημω Ετοιμασατε την οδον κυριου ευθειας ποιειτε τας τριβους αυτου
Matthew,3,4,αυτος δε ο Ιωαννης ειχεν το ενδυμα αυτου απο τριχων καμηλου και ζωνην δερματινην περι την οσφυν αυτου η δε τροφη ην αυτου ακριδες και μελι αγριον
Matthew,3,5,τοτε εξεπορευετο προς αυτον Ιεροσολυμα και πασα η Ιουδαια και πασα η περιχωρος του Ιορδανου
Matthew,3,6,και εβαπτιζοντο εν τω Ιορδανη ποταμω υπ αυτου εξομολογουμενοι τας αμαρτιας αυτων
